ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
LRG,4.86,3.14,3.36,4.43,4.14,3.64,4.43,REC
SVM,4.93,3.0,3.0,4.64,3.57,3.86,5.0,REC
DTREE,4.07,3.79,3.14,2.43,5.0,4.29,5.29,REC
RF,4.57,3.71,2.57,3.86,3.71,4.21,5.36,REC
ABC,2.07,3.79,4.5,3.57,5.0,3.71,5.36,REC
SGD,4.36,3.14,2.29,3.93,4.21,4.07,6.0,REC
MLP,5.43,2.36,2.79,3.29,3.79,4.21,6.14,REC
KNN,2.64,4.21,3.29,3.14,4.93,3.36,6.43,REC
avarage,4.12,3.39,3.12,3.66,4.29,3.92,5.5,REC
std,1.17,0.59,0.67,0.72,0.6,0.33,0.66,REC
