ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
SVM,5.36,3.07,3.07,4.79,3.71,4.0,4.0,F1
LRG,5.0,3.21,3.29,4.5,3.93,3.86,4.21,F1
ABC,2.0,3.79,4.5,4.07,5.07,3.64,4.93,F1
MLP,6.07,2.5,2.93,2.71,3.79,4.29,5.71,F1
RF,5.0,3.36,2.36,3.79,3.64,3.93,5.93,F1
KNN,3.14,4.14,3.57,3.07,4.57,3.5,6.0,F1
SGD,4.64,3.14,2.29,3.64,4.0,4.14,6.14,F1
DTREE,3.43,4.0,3.14,2.29,5.07,3.86,6.21,F1
avarage,4.33,3.4,3.14,3.61,4.22,3.9,5.39,F1
std,1.35,0.55,0.7,0.87,0.6,0.25,0.89,F1
