ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
LRG,4.86,3.14,3.36,4.43,4.0,3.64,4.57,REC
ABC,2.07,3.86,4.71,3.64,5.0,3.57,5.14,REC
RF,4.57,3.71,2.57,3.71,3.71,4.21,5.5,REC
SGD,4.36,3.14,2.43,4.0,4.36,4.21,5.5,REC
SVM,4.86,2.86,2.86,4.5,3.43,3.71,5.79,REC
MLP,5.5,2.36,2.93,3.29,3.64,4.36,5.93,REC
KNN,2.5,4.36,3.29,3.29,4.79,3.5,6.29,REC
DTREE,3.93,3.64,3.0,2.43,4.71,4.0,6.29,REC
avarage,4.08,3.38,3.14,3.66,4.21,3.9,5.62,REC
std,1.2,0.63,0.71,0.68,0.59,0.33,0.58,REC
