ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
LRG,5.14,3.36,3.43,4.71,4.07,4.0,3.29,F1
SVM,5.29,3.07,3.07,4.79,3.71,4.0,4.07,F1
DTREE,3.86,4.21,3.36,2.5,5.36,4.07,4.64,F1
ABC,2.0,3.93,4.64,4.07,5.21,3.5,4.64,F1
KNN,3.29,4.29,3.71,3.14,4.86,3.79,4.93,F1
RF,5.21,3.5,2.43,3.79,3.86,4.0,5.21,F1
SGD,4.79,3.43,2.29,3.64,4.14,4.29,5.43,F1
MLP,5.79,2.5,2.86,2.71,3.79,4.21,6.14,F1
avarage,4.42,3.54,3.22,3.67,4.38,3.98,4.79,F1
std,1.27,0.6,0.75,0.85,0.67,0.25,0.87,F1
