ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
LRG,5.0,3.14,3.5,4.57,4.14,3.64,4.0,REC
SVM,4.93,2.86,3.0,4.64,3.57,3.86,5.14,REC
KNN,2.57,4.36,3.64,3.29,5.07,3.71,5.36,REC
RF,4.71,3.79,2.5,3.86,3.57,3.93,5.64,REC
ABC,2.07,3.71,4.57,3.57,4.93,3.43,5.71,REC
SGD,4.57,3.14,2.29,3.93,4.29,4.0,5.79,REC
MLP,5.43,2.36,2.64,3.21,3.79,4.21,6.36,REC
DTREE,3.86,3.64,3.07,2.29,4.71,4.0,6.43,REC
avarage,4.14,3.38,3.15,3.67,4.26,3.85,5.55,REC
std,1.22,0.62,0.74,0.77,0.6,0.25,0.77,REC
