ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
LRG,6.64,2.93,4.14,4.29,3.86,3.71,2.43,IBA
SVM,5.71,2.64,4.07,3.71,4.07,3.71,4.07,IBA
KNN,4.43,3.79,4.14,3.0,4.43,3.86,4.36,IBA
ABC,2.71,3.93,4.71,4.0,3.93,4.36,4.36,IBA
SGD,6.07,3.14,3.0,3.93,4.07,3.14,4.64,IBA
MLP,6.79,2.14,3.29,3.36,4.07,3.64,4.71,IBA
RF,5.5,3.0,3.0,4.29,3.07,4.07,5.07,IBA
DTREE,3.93,3.86,3.57,2.71,4.71,3.86,5.36,IBA
avarage,5.22,3.18,3.74,3.66,4.03,3.79,4.38,IBA
std,1.42,0.64,0.62,0.58,0.48,0.35,0.89,IBA
