ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
LRG,2.48,3.64,3.48,5.02,5.43,4.43,3.53,REC
SVM,2.11,3.96,3.48,5.06,5.29,4.52,3.59,REC
MLP,2.17,3.4,3.37,4.48,5.77,4.97,3.84,REC
KNN,1.68,4.75,3.66,4.66,5.99,3.3,3.97,REC
ABC,2.16,3.94,3.67,4.48,5.92,3.54,4.28,REC
RF,2.92,3.9,3.04,3.91,5.66,4.28,4.29,REC
SGD,2.07,4.02,3.8,4.66,4.72,4.43,4.29,REC
DTREE,2.52,4.12,3.06,3.99,5.63,3.78,4.9,REC
avarage,2.26,3.97,3.44,4.53,5.55,4.16,4.09,REC
std,0.37,0.39,0.28,0.42,0.41,0.56,0.45,REC
