ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
DTREE,5.1,4.02,3.26,4.28,4.62,3.43,3.29,IBA
RF,6.32,3.43,3.29,3.95,3.44,3.84,3.72,IBA
SGD,5.78,3.39,3.7,3.86,3.86,3.66,3.76,IBA
SVM,6.58,2.96,3.49,3.7,4.45,2.84,3.98,IBA
ABC,5.55,2.93,3.25,3.8,4.07,4.43,3.98,IBA
KNN,6.0,3.07,3.52,3.58,3.9,3.93,3.99,IBA
MLP,6.67,2.67,3.39,3.5,4.22,3.47,4.08,IBA
LRG,6.89,2.61,3.42,3.62,3.99,3.25,4.21,IBA
avarage,6.11,3.14,3.41,3.79,4.07,3.61,3.88,IBA
std,0.62,0.46,0.15,0.25,0.37,0.48,0.29,IBA
