ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
RF,6.52,3.72,3.69,4.21,2.93,3.8,3.12,SPE
KNN,6.41,3.36,3.92,3.59,3.06,4.51,3.16,SPE
DTREE,5.39,4.17,3.48,4.38,4.01,3.39,3.2,SPE
ABC,6.09,3.17,3.76,3.76,3.38,4.52,3.31,SPE
SGD,6.4,3.78,3.93,3.33,3.46,3.51,3.59,SPE
MLP,6.81,3.53,3.82,3.64,3.16,3.25,3.79,SPE
LRG,6.93,3.19,4.16,3.22,2.96,3.48,4.07,SPE
SVM,6.71,3.55,3.86,3.33,3.64,2.82,4.09,SPE
avarage,6.41,3.56,3.83,3.68,3.32,3.66,3.54,SPE
std,0.49,0.33,0.2,0.42,0.37,0.6,0.4,SPE
