ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
SVM,5.84,3.3,3.49,3.82,4.31,3.65,3.58,PRE
LRG,6.57,2.87,3.8,3.77,3.75,3.49,3.75,PRE
MLP,5.47,3.05,3.48,3.7,4.42,4.0,3.89,PRE
DTREE,3.84,3.95,3.06,4.21,5.34,3.59,4.02,PRE
KNN,3.8,3.93,3.75,3.96,4.55,3.97,4.05,PRE
SGD,4.91,3.67,3.49,3.98,4.2,3.66,4.07,PRE
ABC,3.93,3.07,3.47,3.98,4.97,4.36,4.22,PRE
RF,4.34,3.77,2.89,3.71,4.72,4.3,4.27,PRE
avarage,4.84,3.45,3.43,3.89,4.53,3.88,3.98,PRE
std,1.04,0.43,0.31,0.18,0.48,0.33,0.23,PRE
