ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
SVM,3.36,3.75,3.12,4.8,5.08,4.25,3.65,F1
LRG,4.04,3.11,3.07,4.54,5.16,4.07,4.02,F1
MLP,2.93,3.18,3.1,4.2,5.59,4.78,4.21,F1
SGD,2.65,3.79,3.7,4.57,4.69,4.35,4.25,F1
RF,3.98,3.61,2.93,3.66,5.21,4.23,4.39,F1
DTREE,2.93,4.05,2.92,4.2,5.66,3.71,4.53,F1
ABC,2.77,3.61,3.35,4.29,5.71,3.62,4.64,F1
KNN,1.99,4.57,3.37,4.44,5.78,3.11,4.75,F1
avarage,3.08,3.71,3.19,4.34,5.36,4.01,4.3,F1
std,0.69,0.46,0.26,0.34,0.38,0.52,0.36,F1
