ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
ABC,5.39,3.05,3.39,3.87,4.21,4.45,3.64,AUC
KNN,5.52,3.48,3.52,3.91,4.11,3.81,3.65,AUC
RF,6.06,3.54,3.27,4.05,3.51,3.89,3.68,AUC
DTREE,4.7,4.0,3.12,4.3,4.88,3.26,3.74,AUC
MLP,6.5,2.82,3.66,3.49,4.07,3.6,3.85,AUC
SGD,5.63,3.32,3.79,3.69,3.89,3.79,3.89,AUC
LRG,6.7,2.7,3.43,3.82,3.94,3.41,4.0,AUC
SVM,6.53,3.26,3.34,3.68,4.16,2.88,4.16,AUC
avarage,5.88,3.27,3.44,3.85,4.1,3.64,3.83,AUC
std,0.69,0.42,0.21,0.25,0.39,0.47,0.19,AUC
