ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
SGD,5.78,3.43,3.8,3.95,3.96,3.82,3.27,IBA
KNN,5.98,3.2,3.7,3.65,3.98,4.09,3.41,IBA
DTREE,5.09,4.0,3.19,4.25,4.58,3.44,3.45,IBA
RF,6.34,3.45,3.34,3.95,3.49,3.93,3.49,IBA
ABC,5.61,3.03,3.29,3.86,4.16,4.43,3.61,IBA
MLP,6.67,2.73,3.55,3.61,4.25,3.53,3.65,IBA
SVM,6.62,3.09,3.55,3.74,4.43,2.9,3.67,IBA
LRG,6.89,2.62,3.41,3.71,4.11,3.35,3.9,IBA
avarage,6.12,3.19,3.48,3.84,4.12,3.69,3.56,IBA
std,0.62,0.44,0.21,0.21,0.33,0.48,0.19,IBA
