ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
SVM,3.29,3.86,3.15,4.8,5.03,4.36,3.51,F1
LRG,4.11,3.22,3.12,4.59,5.2,4.22,3.54,F1
MLP,2.97,3.3,3.16,4.3,5.66,4.91,3.72,F1
SGD,2.72,3.86,3.67,4.77,4.75,4.37,3.85,F1
KNN,1.99,4.75,3.51,4.58,5.9,3.23,4.03,F1
ABC,2.8,3.74,3.44,4.39,5.84,3.7,4.09,F1
RF,3.94,3.71,2.95,3.72,5.23,4.3,4.15,F1
DTREE,2.96,4.08,2.95,4.09,5.66,3.79,4.48,F1
avarage,3.1,3.82,3.24,4.41,5.41,4.11,3.92,F1
std,0.68,0.48,0.27,0.37,0.41,0.52,0.33,F1
