ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
DTREE,5.1,3.94,3.25,4.28,4.7,3.48,3.24,IBA
SVM,6.63,3.11,3.65,3.8,4.53,2.9,3.38,IBA
KNN,5.98,3.22,3.65,3.62,3.98,4.01,3.54,IBA
ABC,5.61,2.95,3.34,3.89,4.11,4.52,3.57,IBA
LRG,6.91,2.66,3.53,3.78,4.16,3.36,3.6,IBA
MLP,6.66,2.75,3.52,3.56,4.22,3.61,3.67,IBA
SGD,5.73,3.33,3.75,3.85,3.93,3.73,3.67,IBA
RF,6.34,3.48,3.25,3.99,3.42,3.82,3.7,IBA
avarage,6.12,3.18,3.49,3.85,4.13,3.68,3.55,IBA
std,0.62,0.42,0.19,0.22,0.39,0.48,0.16,IBA
