ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
ABC,6.09,3.14,3.74,3.85,3.35,4.55,3.28,SPE
MLP,6.8,3.59,3.93,3.67,3.21,3.37,3.43,SPE
KNN,6.41,3.25,3.84,3.52,3.06,4.43,3.48,SPE
RF,6.49,3.6,3.58,4.1,2.84,3.7,3.69,SPE
LRG,6.93,3.18,4.29,3.35,3.05,3.52,3.69,SPE
DTREE,5.3,4.02,3.4,4.34,3.84,3.27,3.82,SPE
SVM,6.75,3.57,3.9,3.4,3.67,2.87,3.84,SPE
SGD,6.32,3.7,3.84,3.26,3.48,3.49,3.91,SPE
avarage,6.39,3.51,3.81,3.69,3.31,3.65,3.64,SPE
std,0.52,0.3,0.26,0.38,0.34,0.57,0.22,SPE
