ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
RF,6.34,3.59,3.39,4.18,3.49,4.0,3.02,GEO
MLP,6.68,2.92,3.72,3.7,4.14,3.7,3.15,GEO
SVM,6.7,3.26,3.66,3.82,4.45,2.93,3.17,GEO
DTREE,5.13,4.0,3.27,4.31,4.6,3.5,3.19,GEO
KNN,6.03,3.23,3.77,3.71,3.89,4.02,3.34,GEO
ABC,5.76,3.09,3.4,3.97,4.01,4.41,3.36,GEO
LRG,6.91,2.91,3.54,3.73,4.07,3.41,3.43,GEO
SGD,5.69,3.55,3.89,3.75,3.93,3.57,3.63,GEO
avarage,6.15,3.32,3.58,3.9,4.07,3.69,3.29,GEO
std,0.61,0.37,0.21,0.24,0.34,0.45,0.19,GEO
