ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
MLP,2.16,3.3,3.31,4.43,5.71,4.98,4.11,REC
SVM,2.07,3.82,3.39,4.93,5.17,4.46,4.16,REC
LRG,2.45,3.39,3.38,4.9,5.32,4.34,4.21,REC
RF,2.93,3.89,2.97,3.94,5.63,4.3,4.35,REC
SGD,2.1,3.96,3.7,4.63,4.81,4.35,4.44,REC
ABC,2.17,3.89,3.55,4.41,5.89,3.54,4.55,REC
KNN,1.66,4.59,3.47,4.54,6.0,3.15,4.59,REC
DTREE,2.55,4.16,2.95,4.02,5.75,3.84,4.72,REC
avarage,2.26,3.88,3.34,4.48,5.53,4.12,4.39,REC
std,0.38,0.41,0.26,0.36,0.4,0.58,0.22,REC
