ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
LRG,6.6,2.9,3.9,3.89,3.89,3.62,3.2,PRE
SGD,5.03,3.75,3.64,4.1,4.35,3.8,3.33,PRE
SVM,5.84,3.38,3.52,3.85,4.41,3.66,3.34,PRE
KNN,3.84,3.96,3.72,3.97,4.57,4.02,3.92,PRE
MLP,5.47,3.02,3.44,3.66,4.41,3.99,4.01,PRE
DTREE,3.86,3.9,3.04,4.29,5.35,3.54,4.02,PRE
RF,4.37,3.81,2.94,3.74,4.76,4.29,4.09,PRE
ABC,4.01,3.11,3.39,3.94,4.87,4.32,4.35,PRE
avarage,4.88,3.48,3.45,3.93,4.58,3.9,3.78,PRE
std,1.03,0.43,0.33,0.2,0.43,0.3,0.43,PRE
