ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
SGD,6.38,3.93,3.98,3.33,3.53,3.61,3.25,SPE
LRG,6.93,3.25,4.25,3.35,3.04,3.55,3.63,SPE
ABC,6.02,3.07,3.56,3.61,3.19,4.52,4.02,SPE
DTREE,5.29,3.94,3.27,4.26,3.89,3.22,4.12,SPE
SVM,6.73,3.5,3.8,3.33,3.58,2.79,4.27,SPE
MLP,6.78,3.41,3.77,3.48,3.02,3.13,4.4,SPE
RF,6.47,3.34,3.37,3.97,2.75,3.57,4.54,SPE
KNN,6.38,3.11,3.65,3.26,2.84,4.2,4.56,SPE
avarage,6.37,3.44,3.71,3.57,3.23,3.58,4.1,SPE
std,0.52,0.34,0.32,0.36,0.4,0.57,0.46,SPE
