ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
DTREE,4.75,3.94,3.11,4.28,4.87,3.3,3.75,AUC
SGD,5.62,3.43,3.7,3.75,3.89,3.74,3.85,AUC
LRG,6.7,2.71,3.38,3.76,3.93,3.43,4.09,AUC
ABC,5.36,2.95,3.23,3.8,4.07,4.44,4.16,AUC
RF,6.06,3.45,3.12,3.91,3.36,3.74,4.36,AUC
KNN,5.48,3.25,3.37,3.7,4.01,3.71,4.49,AUC
SVM,6.54,3.16,3.22,3.63,4.02,2.84,4.59,AUC
MLP,6.47,2.63,3.43,3.39,3.84,3.48,4.75,AUC
avarage,5.87,3.19,3.32,3.78,4.0,3.59,4.25,AUC
std,0.68,0.43,0.19,0.25,0.42,0.46,0.35,AUC
