ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
SGD,4.97,3.63,3.54,3.96,4.28,3.71,3.91,PRE
LRG,6.53,2.75,3.7,3.66,3.73,3.38,4.25,PRE
DTREE,3.75,3.91,2.96,4.17,5.25,3.52,4.43,PRE
ABC,3.89,3.09,3.35,3.89,4.92,4.34,4.52,PRE
KNN,3.73,3.85,3.64,3.84,4.5,3.9,4.54,PRE
SVM,5.79,3.09,3.25,3.69,4.19,3.42,4.57,PRE
RF,4.24,3.73,2.82,3.64,4.69,4.14,4.75,PRE
MLP,5.39,2.83,3.24,3.53,4.3,3.8,4.92,PRE
avarage,4.79,3.36,3.31,3.8,4.48,3.78,4.48,PRE
std,1.05,0.47,0.31,0.21,0.47,0.34,0.31,PRE
