ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
RF,6.52,3.78,3.8,4.29,3.07,3.87,2.67,SPE
KNN,6.39,3.48,4.01,3.64,3.19,4.52,2.78,SPE
ABC,6.07,3.25,3.86,3.81,3.4,4.6,3.0,SPE
LRG,6.93,3.35,4.38,3.43,3.12,3.71,3.07,SPE
MLP,6.79,3.62,3.95,3.7,3.27,3.37,3.3,SPE
DTREE,5.37,4.06,3.47,4.39,4.03,3.34,3.34,SPE
SVM,6.75,3.66,4.01,3.44,3.75,2.95,3.44,SPE
SGD,6.37,3.77,3.94,3.27,3.53,3.56,3.56,SPE
avarage,6.4,3.62,3.93,3.75,3.42,3.74,3.15,SPE
std,0.5,0.26,0.25,0.4,0.33,0.57,0.32,SPE
