ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
LRG,6.91,2.96,3.6,3.76,4.13,3.57,3.07,GEO
SVM,6.69,3.3,3.66,3.84,4.45,2.97,3.1,GEO
KNN,6.01,3.17,3.74,3.72,3.94,4.09,3.33,GEO
RF,6.34,3.52,3.35,4.09,3.4,3.95,3.34,GEO
SGD,5.75,3.57,3.94,3.75,3.89,3.73,3.37,GEO
ABC,5.72,3.09,3.42,3.89,4.05,4.42,3.42,GEO
MLP,6.67,2.82,3.65,3.66,4.12,3.58,3.49,GEO
DTREE,5.11,3.97,3.16,4.31,4.57,3.39,3.5,GEO
avarage,6.15,3.3,3.56,3.88,4.07,3.71,3.33,GEO
std,0.61,0.37,0.24,0.22,0.36,0.45,0.16,GEO
