ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
SGD,2.15,4.01,3.82,4.69,4.89,4.41,4.04,REC
SVM,2.12,3.84,3.39,4.97,5.19,4.34,4.16,REC
MLP,2.19,3.2,3.3,4.38,5.69,4.92,4.34,REC
RF,2.93,3.93,2.97,3.92,5.63,4.26,4.37,REC
DTREE,2.66,4.16,3.05,4.04,5.78,3.92,4.39,REC
ABC,2.18,3.9,3.61,4.41,5.91,3.55,4.43,REC
LRG,2.41,3.24,3.32,4.84,5.34,4.29,4.57,REC
KNN,1.63,4.55,3.47,4.5,5.93,3.14,4.79,REC
avarage,2.28,3.85,3.36,4.47,5.54,4.1,4.39,REC
std,0.39,0.45,0.28,0.37,0.37,0.55,0.23,REC
