ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
RF,6.33,3.37,3.21,3.93,3.38,3.68,4.1,IBA
ABC,5.52,2.93,3.18,3.79,4.01,4.45,4.12,IBA
DTREE,4.96,3.85,3.08,4.2,4.48,3.25,4.17,IBA
SGD,5.71,3.26,3.67,3.73,3.8,3.59,4.23,IBA
KNN,5.98,3.1,3.41,3.47,3.89,3.83,4.33,IBA
MLP,6.66,2.59,3.29,3.44,4.11,3.39,4.52,IBA
SVM,6.58,2.89,3.37,3.58,4.24,2.78,4.56,IBA
LRG,6.88,2.53,3.32,3.48,3.91,3.16,4.71,IBA
avarage,6.08,3.07,3.32,3.7,3.98,3.52,4.34,IBA
std,0.65,0.43,0.18,0.26,0.33,0.5,0.23,IBA
