ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
SVM,2.15,4.04,3.49,5.06,5.25,4.53,3.48,REC
LRG,2.44,3.64,3.46,4.98,5.35,4.4,3.73,REC
SGD,2.18,4.02,3.82,4.74,4.89,4.39,3.97,REC
MLP,2.16,3.37,3.36,4.43,5.67,4.96,4.06,REC
KNN,1.65,4.66,3.61,4.62,5.92,3.2,4.35,REC
ABC,2.15,3.9,3.66,4.44,5.84,3.41,4.6,REC
RF,2.85,3.75,2.98,3.81,5.52,4.15,4.94,REC
DTREE,2.49,4.08,2.91,3.94,5.52,3.75,5.3,REC
avarage,2.26,3.93,3.41,4.5,5.49,4.1,4.3,REC
std,0.35,0.38,0.32,0.45,0.33,0.6,0.62,REC
