ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
DTREE,3.89,3.88,3.07,4.25,5.35,3.67,3.89,PRE
RF,4.36,3.86,2.93,3.78,4.73,4.28,4.06,PRE
MLP,5.48,3.03,3.37,3.7,4.38,3.98,4.06,PRE
SVM,5.79,3.19,3.38,3.75,4.25,3.55,4.11,PRE
LRG,6.53,2.8,3.69,3.71,3.73,3.36,4.18,PRE
ABC,3.97,3.13,3.39,3.98,4.89,4.43,4.21,PRE
KNN,3.87,3.92,3.66,3.86,4.48,3.9,4.32,PRE
SGD,4.89,3.56,3.46,3.93,4.16,3.64,4.38,PRE
avarage,4.85,3.42,3.37,3.87,4.49,3.85,4.15,PRE
std,1.0,0.44,0.26,0.18,0.5,0.37,0.16,PRE
