alphas,area_GEO,volume_GEO,area_volume_ratio_GEO,edge_ratio_GEO,radius_ratio_GEO,aspect_ratio_GEO,max_solid_angle_GEO,min_solid_angle_GEO,solid_angle_GEO,area_IBA,volume_IBA,area_volume_ratio_IBA,edge_ratio_IBA,radius_ratio_IBA,aspect_ratio_IBA,max_solid_angle_IBA,min_solid_angle_IBA,solid_angle_IBA
1.0,4.7,5.29,4.39,4.28,4.55,4.17,4.46,4.34,4.44,4.99,5.47,4.6,4.54,4.73,4.35,4.6,4.57,4.59
1.5,4.82,5.22,4.84,4.11,4.58,4.42,4.17,4.47,4.4,5.18,5.44,4.91,4.46,4.8,4.54,4.32,4.78,4.63
2.0,4.74,5.17,4.7,4.37,4.64,4.46,4.3,4.4,4.24,4.88,5.37,4.82,4.5,4.79,4.52,4.43,4.62,4.56
2.5,4.78,4.98,4.73,4.21,4.51,4.43,4.12,4.34,4.36,5.13,5.25,4.94,4.4,4.79,4.45,4.36,4.55,4.54
3.0,4.86,5.02,4.86,4.16,4.32,4.09,3.86,4.47,4.24,4.95,5.31,4.96,4.37,4.61,4.34,4.14,4.59,4.45
3.5,5.07,5.19,4.79,4.04,4.44,4.29,4.36,4.43,4.34,5.3,5.33,5.04,4.28,4.69,4.46,4.56,4.57,4.64
4.0,5.12,5.22,4.46,4.14,4.63,4.06,4.11,4.05,4.38,5.3,5.47,4.61,4.52,4.94,4.13,4.15,4.38,4.67
4.5,4.79,5.14,4.88,4.12,4.41,4.2,4.12,4.12,4.33,5.03,5.32,5.1,4.48,4.68,4.29,4.17,4.31,4.46
5.0,5.03,5.15,4.79,4.3,4.59,4.3,4.31,4.42,4.37,5.24,5.29,5.1,4.56,4.83,4.38,4.59,4.71,4.71
5.5,5.03,5.15,4.92,4.09,4.29,4.27,4.22,4.35,4.33,5.21,5.31,5.08,4.4,4.4,4.53,4.47,4.59,4.56
6.0,4.79,5.21,4.79,4.04,4.4,4.05,4.23,4.28,4.36,4.99,5.33,5.01,4.24,4.61,4.37,4.38,4.58,4.53
6.5,4.63,4.97,5.07,4.32,4.71,4.49,4.42,4.38,4.04,4.82,5.21,5.32,4.55,4.7,4.67,4.65,4.58,4.25
7.0,5.01,5.14,4.58,4.14,4.52,4.55,4.57,4.08,4.41,5.12,5.4,4.74,4.3,4.81,4.82,4.78,4.38,4.66
7.5,4.69,5.36,4.83,4.17,4.58,4.26,4.2,4.52,3.95,4.89,5.56,5.12,4.22,4.78,4.43,4.32,4.71,4.21
8.0,5.06,5.04,4.85,3.98,4.43,4.16,4.34,4.38,4.18,5.15,5.21,5.04,4.23,4.63,4.28,4.38,4.65,4.44
8.5,4.9,5.11,4.77,4.24,4.55,4.49,4.26,4.42,4.3,5.04,5.41,5.05,4.45,4.81,4.53,4.64,4.62,4.57
9.0,4.7,5.29,5.01,3.88,4.79,4.29,4.36,4.07,4.41,4.74,5.38,5.15,4.22,4.96,4.46,4.34,4.39,4.55
9.5,4.93,5.44,4.88,4.25,4.36,4.45,4.15,4.27,4.27,5.05,5.56,4.95,4.64,4.53,4.6,4.38,4.52,4.5
