ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
LRG,6.57,2.86,3.86,4.36,3.93,3.36,3.07,IBA
ABC,4.14,4.64,3.36,2.93,4.0,5.71,3.21,IBA
SGD,6.5,3.29,3.29,3.86,2.29,4.43,4.36,IBA
SVM,6.57,2.64,3.71,3.5,4.0,2.86,4.71,IBA
KNN,4.79,3.14,3.57,2.79,4.43,3.71,5.57,IBA
DTREE,4.79,3.79,2.71,3.07,5.36,2.64,5.64,IBA
RF,5.07,3.5,3.29,3.21,2.93,4.0,6.0,IBA
MLP,6.0,3.14,2.64,2.79,4.21,2.79,6.43,IBA
avarage,5.55,3.38,3.3,3.31,3.89,3.69,4.88,IBA
std,0.97,0.62,0.44,0.56,0.93,1.03,1.26,IBA
