ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
LRG,5.86,3.07,4.0,4.07,4.14,3.64,3.21,PRE
ABC,3.43,4.5,2.86,3.79,4.43,5.57,3.43,PRE
SVM,5.86,3.21,3.86,4.21,4.21,2.71,3.93,PRE
DTREE,4.43,3.71,2.79,2.93,5.86,3.43,4.86,PRE
KNN,3.36,4.0,3.29,3.36,4.64,4.07,5.29,PRE
SGD,5.79,2.79,2.93,4.43,2.36,4.14,5.57,PRE
MLP,5.93,3.29,2.64,2.29,4.57,3.14,6.14,PRE
RF,3.79,3.36,3.21,2.57,3.86,4.79,6.43,PRE
avarage,4.8,3.49,3.2,3.46,4.26,3.94,4.86,PRE
std,1.17,0.55,0.5,0.8,0.97,0.92,1.22,PRE
