ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
ABC,3.57,4.64,3.0,4.0,4.43,5.57,2.79,PRE
SVM,5.93,3.36,4.0,4.36,4.36,2.79,3.21,PRE
LRG,5.79,3.07,4.0,4.07,4.14,3.64,3.29,PRE
SGD,5.79,2.93,2.93,4.71,2.5,4.29,4.86,PRE
KNN,3.5,3.86,3.21,3.29,4.57,4.0,5.57,PRE
MLP,6.07,3.29,2.79,2.36,4.5,3.29,5.71,PRE
DTREE,4.14,3.57,2.57,2.79,5.86,3.29,5.79,PRE
RF,3.93,3.21,3.36,2.71,3.71,4.86,6.21,PRE
avarage,4.84,3.49,3.23,3.54,4.26,3.96,4.68,PRE
std,1.15,0.55,0.53,0.87,0.94,0.92,1.37,PRE
