ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
LRG,6.5,2.86,3.86,4.5,4.07,3.36,2.86,IBA
SVM,6.57,2.64,3.71,3.5,4.0,2.79,4.79,IBA
ABC,4.0,4.43,3.07,2.64,3.57,5.43,4.86,IBA
DTREE,4.93,3.93,2.71,3.21,5.57,2.71,4.93,IBA
RF,4.93,3.64,3.43,3.36,3.07,4.0,5.57,IBA
SGD,6.29,3.0,3.0,3.57,2.14,4.43,5.57,IBA
KNN,4.71,3.07,3.57,2.64,4.43,3.57,6.0,IBA
MLP,6.0,3.21,2.64,2.93,4.21,2.79,6.21,IBA
avarage,5.49,3.35,3.25,3.29,3.88,3.63,5.1,IBA
std,0.97,0.6,0.46,0.61,1.01,0.95,1.05,IBA
