ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
LRG,5.0,2.93,3.21,4.43,4.29,3.5,4.64,REC
ABC,2.43,4.43,3.21,3.5,5.14,4.36,4.93,REC
SVM,5.07,2.79,3.43,4.64,4.07,2.86,5.14,REC
SGD,4.57,3.0,2.86,4.57,2.71,4.43,5.86,REC
MLP,5.57,3.36,2.14,2.93,4.79,3.14,6.07,REC
DTREE,4.14,3.5,1.93,2.93,6.0,3.36,6.14,REC
RF,3.93,3.21,3.29,3.0,3.86,4.5,6.21,REC
KNN,3.14,3.71,3.0,3.07,5.36,3.0,6.71,REC
avarage,4.23,3.37,2.88,3.63,4.53,3.64,5.71,REC
std,1.05,0.53,0.55,0.78,1.02,0.68,0.72,REC
