ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
LRG,5.14,3.21,3.43,4.93,4.57,3.5,3.21,F1
SVM,5.5,2.86,3.71,4.64,4.07,3.21,4.0,F1
ABC,2.86,4.5,3.29,3.14,4.5,5.0,4.71,F1
RF,4.43,3.21,3.64,3.07,3.57,4.64,5.43,F1
DTREE,4.71,3.29,2.36,3.0,6.0,3.07,5.57,F1
KNN,3.36,3.64,3.43,3.14,5.21,3.29,5.93,F1
SGD,5.07,3.21,2.64,4.21,2.57,4.14,6.14,F1
MLP,5.57,3.29,2.21,2.71,4.57,3.07,6.57,F1
avarage,4.58,3.4,3.09,3.61,4.38,3.74,5.2,F1
std,0.99,0.49,0.59,0.85,1.03,0.76,1.14,F1
