ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
LRG,6.64,3.14,4.07,4.93,4.43,3.36,1.43,SPE
SVM,6.43,3.14,4.07,4.21,4.64,3.14,2.36,SPE
ABC,4.57,4.57,3.5,3.79,3.79,5.14,2.64,SPE
KNN,5.21,3.36,4.29,3.57,4.21,4.07,3.29,SPE
RF,6.57,4.14,3.64,3.93,2.71,3.5,3.5,SPE
MLP,6.36,4.21,4.0,2.79,4.0,3.07,3.57,SPE
SGD,6.57,4.21,3.64,3.43,3.0,3.43,3.71,SPE
DTREE,6.07,4.5,2.93,3.64,4.43,2.5,3.93,SPE
avarage,6.05,3.91,3.77,3.79,3.9,3.53,3.05,SPE
std,0.76,0.6,0.43,0.62,0.7,0.79,0.85,SPE
