ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
LRG,6.57,2.86,4.0,4.5,4.07,3.36,2.64,IBA
ABC,4.07,4.64,3.43,3.0,4.07,5.71,3.07,IBA
SVM,6.57,2.86,3.86,3.5,4.14,3.0,4.07,IBA
KNN,4.86,3.29,3.86,2.93,4.71,4.0,4.36,IBA
RF,5.36,3.64,3.57,3.5,3.07,4.36,4.5,IBA
DTREE,5.07,3.79,2.64,3.21,5.64,2.57,5.07,IBA
MLP,6.0,3.36,2.79,3.0,4.43,2.93,5.5,IBA
SGD,6.21,3.0,3.0,3.71,2.14,4.29,5.64,IBA
avarage,5.59,3.43,3.39,3.42,4.04,3.78,4.36,IBA
std,0.9,0.6,0.52,0.52,1.05,1.02,1.08,IBA
