ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
LRG,6.57,3.0,4.0,4.86,4.36,3.21,2.0,SPE
ABC,4.71,4.64,3.64,3.93,3.93,5.14,2.0,SPE
SVM,6.43,3.14,4.07,4.21,4.64,3.14,2.36,SPE
KNN,5.14,3.43,4.43,3.79,4.36,4.29,2.57,SPE
RF,6.57,4.21,3.71,4.14,2.79,3.71,2.86,SPE
MLP,6.29,4.29,4.14,2.93,4.07,3.21,3.07,SPE
DTREE,6.0,4.36,3.07,3.86,4.64,2.5,3.57,SPE
SGD,6.57,4.07,3.5,3.14,2.86,3.57,4.29,SPE
avarage,6.04,3.89,3.82,3.86,3.96,3.6,2.84,SPE
std,0.72,0.61,0.43,0.61,0.74,0.81,0.79,SPE
