ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
LRG,6.5,2.79,4.07,4.43,4.0,3.36,2.86,GEO
ABC,3.93,4.57,3.57,3.14,3.93,5.86,3.0,GEO
SVM,6.57,2.93,3.86,4.14,4.29,3.0,3.21,GEO
RF,5.71,3.5,3.07,3.14,3.07,4.57,4.93,GEO
KNN,5.0,2.86,3.71,3.36,4.79,3.36,4.93,GEO
SGD,6.43,3.14,2.86,4.36,2.0,4.14,5.07,GEO
DTREE,5.21,3.93,3.0,2.93,5.29,2.29,5.36,GEO
MLP,6.43,3.36,2.86,2.86,4.5,2.5,5.5,GEO
avarage,5.72,3.38,3.38,3.54,3.98,3.63,4.36,GEO
std,0.95,0.61,0.48,0.66,1.03,1.18,1.13,GEO
