ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
LRG,5.0,2.93,3.21,4.43,4.43,3.5,4.5,REC
ABC,2.57,4.64,3.07,3.36,5.14,4.5,4.71,REC
SGD,4.71,3.0,3.0,4.86,2.71,4.43,5.29,REC
SVM,5.07,2.79,3.43,4.36,3.93,2.71,5.71,REC
RF,3.93,3.36,3.43,3.07,3.93,4.5,5.79,REC
DTREE,4.14,3.79,2.07,2.93,5.93,3.36,5.79,REC
KNN,3.14,3.86,3.0,3.07,5.64,3.21,6.07,REC
MLP,5.57,3.21,2.14,2.79,4.79,3.07,6.43,REC
avarage,4.27,3.45,2.92,3.61,4.56,3.66,5.54,REC
std,1.03,0.62,0.53,0.81,1.05,0.71,0.66,REC
