ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
LRG,6.5,2.86,3.86,4.5,4.07,3.36,2.86,IBA
SVM,6.57,2.86,3.86,3.64,4.14,3.0,3.93,IBA
KNN,4.93,3.29,3.79,2.93,4.71,4.0,4.36,IBA
ABC,3.86,4.43,3.07,2.71,3.71,5.57,4.64,IBA
SGD,6.57,3.14,3.0,3.71,2.14,4.43,5.0,IBA
DTREE,4.79,4.0,2.71,3.21,5.57,2.64,5.07,IBA
MLP,6.07,3.43,2.79,3.07,4.5,2.93,5.21,IBA
RF,5.14,3.57,3.43,3.29,2.93,4.0,5.64,IBA
avarage,5.55,3.45,3.31,3.38,3.97,3.74,4.59,IBA
std,1.02,0.55,0.48,0.56,1.06,0.97,0.88,IBA
