ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
LRG,5.21,3.21,3.57,4.93,4.57,3.5,3.0,F1
SVM,5.43,2.86,3.71,4.64,4.07,3.21,4.07,F1
ABC,2.71,4.43,3.29,3.0,4.57,4.86,5.14,F1
RF,4.29,3.29,3.64,2.93,3.57,4.64,5.64,F1
SGD,5.21,3.36,2.5,4.36,2.57,4.29,5.71,F1
KNN,3.21,3.57,3.21,3.14,5.29,3.29,6.29,F1
MLP,5.57,3.29,2.21,2.71,4.71,3.07,6.43,F1
DTREE,4.5,3.29,2.21,2.79,5.86,2.79,6.57,F1
avarage,4.52,3.41,3.04,3.56,4.4,3.71,5.36,F1
std,1.06,0.46,0.64,0.92,1.01,0.78,1.25,F1
