ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
LRG,6.57,2.93,3.86,4.86,4.36,3.21,2.21,SPE
SVM,6.43,3.14,4.07,4.21,4.64,3.14,2.36,SPE
ABC,4.57,4.57,3.5,3.79,3.71,5.07,2.79,SPE
RF,6.57,4.14,3.71,4.0,2.86,3.79,2.93,SPE
SGD,6.64,4.36,3.64,3.36,3.0,3.71,3.29,SPE
DTREE,6.0,4.43,3.14,3.79,4.57,2.71,3.36,SPE
MLP,6.29,4.29,4.0,2.86,4.07,3.07,3.43,SPE
KNN,5.14,3.36,4.07,3.57,4.21,3.93,3.71,SPE
avarage,6.03,3.9,3.75,3.8,3.93,3.58,3.01,SPE
std,0.77,0.65,0.32,0.59,0.68,0.73,0.53,SPE
