ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
SVM,5.93,3.36,4.0,4.36,4.36,2.86,3.14,PRE
LRG,5.86,2.93,3.86,4.07,4.14,3.5,3.64,PRE
ABC,3.29,4.29,2.86,3.5,4.21,5.36,4.5,PRE
DTREE,4.36,3.71,2.64,3.07,5.86,3.29,5.07,PRE
KNN,3.21,4.0,3.36,3.43,4.71,4.07,5.21,PRE
MLP,6.0,3.14,2.79,2.36,4.71,3.29,5.71,PRE
SGD,5.64,2.93,2.86,4.43,2.21,4.14,5.79,PRE
RF,3.86,3.29,3.21,2.57,3.86,4.71,6.5,PRE
avarage,4.77,3.46,3.2,3.47,4.26,3.9,4.95,PRE
std,1.22,0.5,0.51,0.78,1.02,0.83,1.13,PRE
