ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
LRG,6.57,2.93,3.93,4.86,4.36,3.21,2.14,SPE
ABC,4.64,4.57,3.57,3.86,3.86,5.21,2.29,SPE
RF,6.64,4.29,3.79,4.07,2.93,3.93,2.36,SPE
SVM,6.43,3.14,4.07,4.21,4.64,3.14,2.36,SPE
KNN,5.07,3.29,4.07,3.5,4.29,4.14,3.64,SPE
SGD,6.64,4.21,3.64,3.43,3.0,3.43,3.64,SPE
MLP,6.29,4.14,4.0,2.86,3.93,3.07,3.71,SPE
DTREE,5.86,4.43,3.07,3.71,4.64,2.5,3.79,SPE
avarage,6.02,3.88,3.77,3.81,3.96,3.58,2.99,SPE
std,0.77,0.65,0.34,0.6,0.68,0.84,0.76,SPE
