ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
LRG,6.57,3.0,4.0,4.86,4.36,3.21,2.0,SPE
ABC,4.64,4.64,3.57,3.93,3.93,5.21,2.07,SPE
SVM,6.43,3.14,4.07,4.21,4.64,3.14,2.36,SPE
MLP,6.36,4.36,4.14,2.93,4.0,3.21,3.0,SPE
DTREE,6.07,4.36,3.07,3.93,4.71,2.64,3.21,SPE
SGD,6.5,4.29,3.79,3.43,3.0,3.43,3.57,SPE
KNN,5.07,3.29,4.14,3.5,4.21,4.14,3.64,SPE
RF,6.57,3.93,3.57,4.0,2.64,3.57,3.71,SPE
avarage,6.03,3.88,3.79,3.85,3.94,3.57,2.95,SPE
std,0.75,0.64,0.37,0.58,0.75,0.79,0.71,SPE
