ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
LRG,5.93,3.07,4.29,4.21,4.43,3.71,2.36,PRE
SVM,5.93,3.36,4.0,4.36,4.36,2.86,3.14,PRE
SGD,5.79,2.79,3.21,4.64,2.5,4.71,4.36,PRE
ABC,3.14,4.21,2.86,3.5,4.21,5.29,4.79,PRE
KNN,3.29,4.0,3.5,3.43,4.86,4.07,4.86,PRE
MLP,6.14,3.43,2.93,2.5,4.71,3.43,4.86,PRE
RF,4.0,3.43,3.36,2.71,3.86,5.14,5.5,PRE
DTREE,4.14,3.57,2.5,2.71,5.71,3.14,6.21,PRE
avarage,4.79,3.48,3.33,3.51,4.33,4.04,4.51,PRE
std,1.28,0.46,0.6,0.83,0.92,0.92,1.24,PRE
