ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
LRG,6.64,2.79,4.21,4.43,4.0,3.36,2.57,GEO
SVM,6.64,2.93,3.93,4.14,4.29,3.0,3.07,GEO
RF,5.93,3.64,3.14,3.21,3.07,4.79,4.21,GEO
ABC,3.71,4.43,3.29,2.93,3.86,5.57,4.21,GEO
KNN,5.0,2.93,3.86,3.36,4.79,3.43,4.64,GEO
SGD,6.57,3.14,3.0,4.14,2.0,4.14,5.0,GEO
MLP,6.43,3.43,2.79,2.86,4.5,2.5,5.5,GEO
DTREE,5.21,3.71,2.71,2.79,5.43,2.07,6.07,GEO
avarage,5.77,3.38,3.37,3.48,3.99,3.61,4.41,GEO
std,1.05,0.55,0.56,0.66,1.06,1.17,1.17,GEO
