ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
SGD,5.0,3.0,3.0,4.71,2.71,4.57,5.0,REC
ABC,2.57,4.21,3.07,3.43,5.07,4.36,5.29,REC
SVM,5.21,2.79,3.43,4.5,3.93,2.86,5.29,REC
LRG,5.0,2.79,3.07,4.29,4.14,3.36,5.36,REC
KNN,3.07,3.86,3.14,3.29,5.57,3.14,5.93,REC
RF,3.93,3.29,3.29,3.0,3.86,4.43,6.21,REC
DTREE,4.14,3.5,1.93,2.93,5.86,3.43,6.21,REC
MLP,5.57,3.21,2.14,2.79,4.64,3.07,6.57,REC
avarage,4.31,3.33,2.88,3.62,4.47,3.65,5.73,REC
std,1.08,0.51,0.54,0.77,1.03,0.69,0.57,REC
