ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
LRG,5.21,2.93,3.29,4.64,4.29,3.21,4.43,F1
SVM,5.5,2.71,3.57,4.64,3.93,3.07,4.57,F1
ABC,2.71,4.43,3.29,3.14,4.43,5.0,5.0,F1
KNN,3.71,3.79,3.36,3.29,5.21,3.29,5.36,F1
DTREE,4.79,3.29,2.36,3.07,5.86,2.93,5.71,F1
SGD,5.07,3.5,2.5,4.36,2.57,4.29,5.71,F1
RF,4.36,3.07,3.5,2.93,3.43,4.5,6.21,F1
MLP,5.57,3.29,2.21,2.71,4.57,3.07,6.57,F1
avarage,4.62,3.38,3.01,3.6,4.29,3.67,5.45,F1
std,0.98,0.54,0.55,0.81,1.02,0.8,0.76,F1
