ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
LRG,6.5,2.57,3.79,4.29,3.86,3.21,3.79,GEO
SVM,6.57,2.64,3.57,3.86,4.0,2.71,4.64,GEO
SGD,6.64,3.0,2.86,4.29,2.0,4.14,5.07,GEO
KNN,5.14,2.86,3.57,3.29,4.57,3.29,5.29,GEO
DTREE,5.36,3.64,3.07,3.0,5.43,2.21,5.29,GEO
ABC,3.71,4.14,3.14,2.79,3.5,5.43,5.29,GEO
RF,5.71,3.43,3.14,3.0,2.64,4.57,5.5,GEO
MLP,6.36,3.21,2.64,2.71,4.36,2.36,6.36,GEO
avarage,5.75,3.19,3.22,3.4,3.79,3.49,5.15,GEO
std,1.01,0.53,0.39,0.65,1.09,1.13,0.73,GEO
