ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
SVM,5.93,3.21,3.86,4.21,4.21,2.57,4.0,PRE
ABC,3.43,4.57,2.71,3.71,4.21,5.21,4.14,PRE
LRG,5.93,2.79,3.71,3.93,4.0,3.36,4.29,PRE
SGD,5.93,2.93,2.79,4.57,2.36,4.29,5.14,PRE
KNN,3.43,3.86,3.14,3.29,4.57,3.93,5.79,PRE
RF,4.07,3.43,3.36,2.71,3.71,4.86,5.86,PRE
DTREE,4.14,3.64,2.64,2.79,5.64,3.29,5.86,PRE
MLP,5.86,3.29,2.64,2.21,4.57,3.14,6.29,PRE
avarage,4.84,3.46,3.11,3.43,4.16,3.83,5.17,PRE
std,1.17,0.57,0.49,0.82,0.93,0.91,0.91,PRE
