ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
ABC,4.29,4.43,3.36,3.64,3.79,5.0,3.5,SPE
LRG,6.5,2.64,3.71,4.57,4.07,2.93,3.57,SPE
SVM,6.43,2.86,3.79,3.93,4.36,2.86,3.79,SPE
RF,6.57,3.86,3.57,3.71,2.5,3.64,4.14,SPE
SGD,6.57,4.07,3.64,3.14,2.86,3.43,4.29,SPE
MLP,6.29,4.07,3.86,2.71,3.86,2.86,4.36,SPE
DTREE,6.0,4.07,2.86,3.64,4.43,2.5,4.5,SPE
KNN,5.21,3.29,3.93,3.36,3.86,3.79,4.57,SPE
avarage,5.98,3.66,3.59,3.59,3.71,3.38,4.09,SPE
std,0.82,0.65,0.35,0.55,0.69,0.79,0.42,SPE
