ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
LRG,4.857142857142857,3.357142857142857,2.7142857142857144,4.714285714285714,4.357142857142857,3.5714285714285716,4.428571428571429,REC
GNB,3.5714285714285716,3.9285714285714284,3.5714285714285716,3.857142857142857,4.857142857142857,3.5,4.714285714285714,REC
QDA,4.5,4.714285714285714,3.5,3.857142857142857,3.7857142857142856,2.857142857142857,4.785714285714286,REC
SGD,4.428571428571429,3.642857142857143,4.071428571428571,2.857142857142857,4.5,3.642857142857143,4.857142857142857,REC
KNN,3.2857142857142856,4.714285714285714,2.0714285714285716,4.0,4.714285714285714,4.142857142857143,5.071428571428571,REC
SVM,4.857142857142857,3.5,3.4285714285714284,3.7857142857142856,4.0,3.2857142857142856,5.142857142857143,REC
ABC,2.0,3.4285714285714284,3.4285714285714284,3.142857142857143,5.285714285714286,5.071428571428571,5.642857142857143,REC
DTREE,3.857142857142857,3.5714285714285716,2.2857142857142856,2.9285714285714284,5.428571428571429,4.071428571428571,5.857142857142857,REC
MLP,5.642857142857143,3.2142857142857144,2.7857142857142856,2.857142857142857,3.7142857142857144,3.357142857142857,6.428571428571429,REC
RF,3.4285714285714284,3.857142857142857,3.2857142857142856,2.2142857142857144,4.428571428571429,4.285714285714286,6.5,REC
avarage,4.042857142857143,3.792857142857143,3.114285714285714,3.4214285714285717,4.507142857142857,3.7785714285714294,5.342857142857143,REC
std,1.034112061191649,0.5307441402442689,0.6274159654095468,0.7403575161370892,0.5826769874084001,0.6285443717120409,0.7274968733130557,REC
