ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
ABC,2.7142857142857144,3.857142857142857,4.071428571428571,3.5714285714285716,5.071428571428571,5.5,3.2142857142857144,PRE
LRG,5.785714285714286,3.0,3.357142857142857,4.642857142857143,4.5,3.4285714285714284,3.2857142857142856,PRE
QDA,4.0,4.428571428571429,4.0,4.642857142857143,4.0,3.4285714285714284,3.5,PRE
SVM,5.928571428571429,3.357142857142857,3.7142857142857144,3.857142857142857,4.0,3.2857142857142856,3.857142857142857,PRE
KNN,3.7857142857142856,4.285714285714286,2.4285714285714284,3.857142857142857,4.214285714285714,4.428571428571429,5.0,PRE
SGD,5.571428571428571,4.0,4.0,2.2142857142857144,3.7142857142857144,3.5,5.0,PRE
GNB,3.9285714285714284,2.857142857142857,4.0,3.357142857142857,4.0,4.785714285714286,5.071428571428571,PRE
DTREE,4.785714285714286,3.642857142857143,2.5,3.0,5.0,3.9285714285714284,5.142857142857143,PRE
RF,4.642857142857143,4.0,3.5,2.0714285714285716,4.142857142857143,4.071428571428571,5.571428571428571,PRE
MLP,6.142857142857143,3.142857142857143,3.2857142857142856,3.142857142857143,3.142857142857143,3.5,5.642857142857143,PRE
avarage,4.728571428571429,3.657142857142857,3.485714285714286,3.435714285714286,4.178571428571429,3.9857142857142853,4.5285714285714285,PRE
std,1.1252613704946233,0.5468939298634992,0.6087048069057065,0.8770505612989652,0.5736563715788933,0.7243732140878637,0.956064305847729,PRE
