ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
LRG,6.571428571428571,3.0,3.357142857142857,4.285714285714286,4.642857142857143,3.2142857142857144,2.9285714285714284,SPE
ABC,3.857142857142857,2.7142857142857144,4.357142857142857,3.7857142857142856,4.142857142857143,5.642857142857143,3.5,SPE
SVM,6.214285714285714,3.7142857142857144,3.857142857142857,3.5,4.214285714285714,2.9285714285714284,3.5714285714285716,SPE
SGD,6.357142857142857,4.214285714285714,4.428571428571429,3.0,3.642857142857143,2.5714285714285716,3.7857142857142856,SPE
QDA,4.0,4.428571428571429,3.5714285714285716,3.9285714285714284,4.285714285714286,3.5714285714285716,4.214285714285714,SPE
MLP,6.928571428571429,3.357142857142857,4.0,2.9285714285714284,2.7857142857142856,3.7142857142857144,4.285714285714286,SPE
RF,5.428571428571429,4.0,3.857142857142857,3.7142857142857144,3.142857142857143,3.2142857142857144,4.642857142857143,SPE
DTREE,4.214285714285714,5.071428571428571,3.0,4.0,3.7857142857142856,3.142857142857143,4.785714285714286,SPE
KNN,5.571428571428571,2.7857142857142856,2.7142857142857144,3.2857142857142856,3.7142857142857144,4.642857142857143,5.285714285714286,SPE
GNB,4.357142857142857,3.0,3.5,3.4285714285714284,2.857142857142857,5.428571428571429,5.428571428571429,SPE
avarage,5.35,3.628571428571429,3.6642857142857146,3.5857142857142854,3.7214285714285715,3.807142857142858,4.242857142857142,SPE
std,1.160796700370843,0.7902466677679617,0.5502524673073059,0.43876759999197873,0.628544371712041,1.0648208945240352,0.8089633914507399,SPE
