ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
LRG,6.5,2.7142857142857144,3.0,4.571428571428571,4.642857142857143,3.357142857142857,3.2142857142857144,IBA
QDA,3.9285714285714284,4.785714285714286,3.9285714285714284,4.714285714285714,4.071428571428571,2.5714285714285716,4.0,IBA
ABC,2.7142857142857144,3.142857142857143,4.0,3.142857142857143,5.142857142857143,5.428571428571429,4.428571428571429,IBA
GNB,3.9285714285714284,3.7142857142857144,3.5714285714285716,3.142857142857143,4.142857142857143,4.214285714285714,5.285714285714286,IBA
SVM,6.642857142857143,3.2142857142857144,3.5714285714285716,2.9285714285714284,4.142857142857143,2.2142857142857144,5.285714285714286,IBA
RF,5.071428571428571,4.071428571428571,2.9285714285714284,3.0,3.4285714285714284,4.071428571428571,5.428571428571429,IBA
SGD,5.285714285714286,3.7142857142857144,4.0,2.4285714285714284,3.857142857142857,3.142857142857143,5.571428571428571,IBA
DTREE,4.285714285714286,3.7857142857142856,2.357142857142857,3.5,4.714285714285714,3.7142857142857144,5.642857142857143,IBA
KNN,4.928571428571429,3.9285714285714284,2.142857142857143,2.857142857142857,4.142857142857143,3.9285714285714284,6.071428571428571,IBA
MLP,6.642857142857143,3.2857142857142856,2.7857142857142856,3.4285714285714284,2.7857142857142856,2.9285714285714284,6.142857142857143,IBA
avarage,4.992857142857143,3.6357142857142852,3.2285714285714286,3.371428571428571,4.107142857142857,3.557142857142858,5.107142857142857,IBA
std,1.3237110275108166,0.5797509043642028,0.682465850565586,0.7344765362575753,0.6668792178171867,0.9275329968887686,0.9393453116466125,IBA
