ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
LRG,5.928571428571429,3.0,3.357142857142857,4.785714285714286,4.5,3.4285714285714284,3.0,PRE
SVM,5.857142857142857,3.357142857142857,3.7142857142857144,4.0,4.142857142857143,3.2857142857142856,3.642857142857143,PRE
QDA,3.857142857142857,4.357142857142857,3.857142857142857,4.714285714285714,4.0,3.2857142857142856,3.9285714285714284,PRE
RF,5.0,4.142857142857143,3.7142857142857144,2.2857142857142856,4.357142857142857,4.142857142857143,4.357142857142857,PRE
KNN,3.7142857142857144,4.142857142857143,2.4285714285714284,3.857142857142857,4.357142857142857,4.571428571428571,4.928571428571429,PRE
GNB,3.9285714285714284,2.857142857142857,4.071428571428571,3.357142857142857,4.071428571428571,4.785714285714286,4.928571428571429,PRE
MLP,6.285714285714286,3.2857142857142856,3.4285714285714284,3.2857142857142856,3.142857142857143,3.642857142857143,4.928571428571429,PRE
SGD,5.642857142857143,3.5714285714285716,4.0,2.357142857142857,4.0,3.5,4.928571428571429,PRE
ABC,2.5714285714285716,3.142857142857143,3.5714285714285716,3.142857142857143,4.928571428571429,5.5,5.142857142857143,PRE
DTREE,4.642857142857143,3.7142857142857144,2.4285714285714284,2.857142857142857,4.857142857142857,4.0,5.5,PRE
avarage,4.742857142857143,3.557142857142857,3.457142857142857,3.464285714285714,4.235714285714286,4.014285714285714,4.528571428571429,PRE
std,1.2080606072705964,0.5203347954151518,0.5872801368884134,0.8743316203323114,0.5062534118470735,0.7406254634412089,0.7797028330950889,PRE
