ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
LRG,4.928571428571429,3.357142857142857,2.857142857142857,4.857142857142857,4.5,3.5714285714285716,3.9285714285714284,REC
SVM,4.857142857142857,3.5,3.5,3.9285714285714284,4.142857142857143,3.2857142857142856,4.785714285714286,REC
QDA,4.5,4.714285714285714,3.4285714285714284,3.7857142857142856,3.857142857142857,2.7857142857142856,4.928571428571429,REC
ABC,2.0,3.5,3.5714285714285716,3.4285714285714284,5.5,5.0,5.0,REC
DTREE,4.0,4.0,2.5714285714285716,3.0714285714285716,5.285714285714286,3.9285714285714284,5.142857142857143,REC
GNB,3.5714285714285716,3.7857142857142856,3.5,3.5714285714285716,4.571428571428571,3.5714285714285716,5.428571428571429,REC
RF,3.5714285714285716,4.0,3.357142857142857,2.357142857142857,4.714285714285714,4.428571428571429,5.571428571428571,REC
KNN,3.142857142857143,4.428571428571429,1.9285714285714286,3.857142857142857,4.642857142857143,4.0,6.0,REC
SGD,4.142857142857143,3.357142857142857,3.857142857142857,2.7142857142857144,4.214285714285714,3.7142857142857144,6.0,REC
MLP,5.642857142857143,3.2142857142857144,2.7857142857142856,2.857142857142857,3.7142857142857144,3.357142857142857,6.428571428571429,REC
avarage,4.0357142857142865,3.7857142857142856,3.1357142857142857,3.442857142857142,4.514285714285714,3.7642857142857147,5.321428571428571,REC
std,1.0357827016264862,0.49715745280526435,0.5855884495100177,0.7251553903378601,0.5702368525684839,0.6218343867422801,0.7255070945329805,REC
