ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
LRG,4.928571428571429,3.357142857142857,2.5,5.0,5.0,3.7857142857142856,3.4285714285714284,F1
DTREE,4.642857142857143,4.214285714285714,2.5714285714285716,2.7857142857142856,5.571428571428571,4.142857142857143,4.071428571428571,F1
SVM,5.142857142857143,3.5714285714285716,3.0714285714285716,4.142857142857143,4.428571428571429,3.5,4.142857142857143,F1
ABC,2.5,3.7857142857142856,3.7857142857142856,3.142857142857143,5.428571428571429,5.142857142857143,4.214285714285714,F1
QDA,4.428571428571429,4.785714285714286,3.642857142857143,3.9285714285714284,3.5,2.857142857142857,4.857142857142857,F1
KNN,3.642857142857143,4.357142857142857,2.0714285714285716,4.071428571428571,4.571428571428571,4.071428571428571,5.214285714285714,F1
GNB,3.4285714285714284,3.642857142857143,3.5714285714285716,2.9285714285714284,4.785714285714286,4.142857142857143,5.5,F1
RF,4.071428571428571,4.214285714285714,3.0714285714285716,2.142857142857143,4.142857142857143,4.714285714285714,5.642857142857143,F1
SGD,4.571428571428571,3.2857142857142856,3.5,3.142857142857143,4.571428571428571,3.2142857142857144,5.714285714285714,F1
MLP,6.285714285714286,3.0714285714285716,2.5,3.0714285714285716,3.4285714285714284,3.357142857142857,6.285714285714286,F1
avarage,4.364285714285715,3.8285714285714283,3.028571428571429,3.435714285714286,4.542857142857143,3.8928571428571423,4.9071428571428575,F1
std,1.0380788552660956,0.5462716342742852,0.5920868968521734,0.8332993190337076,0.7160296171935995,0.6976231106658863,0.9122807878211974,F1
