ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
DTREE,4.5,5.357142857142857,3.5714285714285716,4.285714285714286,4.142857142857143,3.5,2.642857142857143,SPE
LRG,6.571428571428571,3.0714285714285716,3.357142857142857,4.357142857142857,4.785714285714286,3.2142857142857144,2.642857142857143,SPE
ABC,4.0,2.857142857142857,4.357142857142857,3.7857142857142856,4.142857142857143,5.785714285714286,3.0714285714285716,SPE
SVM,6.214285714285714,3.7142857142857144,3.857142857142857,3.642857142857143,4.357142857142857,2.9285714285714284,3.2857142857142856,SPE
QDA,4.071428571428571,4.642857142857143,3.642857142857143,3.9285714285714284,4.357142857142857,3.4285714285714284,3.9285714285714284,SPE
SGD,6.214285714285714,4.071428571428571,4.428571428571429,3.142857142857143,3.642857142857143,2.5,4.0,SPE
RF,5.5,4.0,4.0,4.071428571428571,3.0714285714285716,3.2857142857142856,4.071428571428571,SPE
KNN,5.571428571428571,3.0714285714285716,2.7857142857142856,3.357142857142857,3.7857142857142856,4.857142857142857,4.571428571428571,SPE
MLP,6.857142857142857,3.2857142857142856,3.9285714285714284,2.857142857142857,2.642857142857143,3.642857142857143,4.785714285714286,SPE
GNB,4.5,3.0,3.5,3.2857142857142856,2.857142857142857,5.428571428571429,5.428571428571429,SPE
avarage,5.3999999999999995,3.707142857142857,3.742857142857143,3.6714285714285717,3.7785714285714285,3.8571428571428568,3.842857142857143,SPE
std,1.0649007491039608,0.8181958472422384,0.48585432154989366,0.5030519103331145,0.7154355823988335,1.1050287034164088,0.9311928808823098,SPE
