ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
LRG,6.571428571428571,2.9285714285714284,3.142857142857143,4.642857142857143,4.785714285714286,3.142857142857143,2.7857142857142856,GEO
QDA,3.7142857142857144,5.071428571428571,4.285714285714286,4.928571428571429,3.642857142857143,2.5,3.857142857142857,GEO
DTREE,4.785714285714286,4.214285714285714,2.5714285714285716,3.5714285714285716,4.857142857142857,4.0,4.0,GEO
ABC,2.857142857142857,3.4285714285714284,3.857142857142857,3.2857142857142856,4.928571428571429,5.571428571428571,4.071428571428571,GEO
SVM,6.142857142857143,3.5,3.642857142857143,3.2142857142857144,4.5,2.857142857142857,4.142857142857143,GEO
RF,4.857142857142857,4.142857142857143,3.142857142857143,3.357142857142857,3.7142857142857144,4.285714285714286,4.5,GEO
KNN,5.0,3.5714285714285716,2.4285714285714284,3.5714285714285716,4.142857142857143,4.285714285714286,5.0,GEO
GNB,3.9285714285714284,3.7142857142857144,3.5714285714285716,3.142857142857143,4.071428571428571,4.285714285714286,5.285714285714286,GEO
SGD,5.714285714285714,3.4285714285714284,3.857142857142857,2.2857142857142856,3.857142857142857,3.0,5.857142857142857,GEO
MLP,6.642857142857143,3.142857142857143,2.642857142857143,3.7857142857142856,2.7857142857142856,3.0714285714285716,5.928571428571429,GEO
avarage,5.021428571428571,3.7142857142857144,3.314285714285714,3.5785714285714283,4.128571428571428,3.7,4.542857142857143,GEO
std,1.2666353379584354,0.6190476190476191,0.628318852573171,0.7547656601979578,0.6690433824641325,0.9408829741126451,0.9800735776905093,GEO
