ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
LRG,6.5,2.9285714285714284,3.142857142857143,4.642857142857143,5.071428571428571,3.142857142857143,2.5714285714285716,GEO
SVM,6.142857142857143,3.7857142857142856,3.857142857142857,3.5,4.571428571428571,3.0714285714285716,3.0714285714285716,GEO
QDA,3.7142857142857144,5.071428571428571,4.285714285714286,4.857142857142857,3.7857142857142856,2.5,3.7857142857142856,GEO
KNN,5.0,3.7857142857142856,2.5714285714285716,3.7857142857142856,4.357142857142857,4.5,4.0,GEO
SGD,5.714285714285714,3.7142857142857144,4.0,2.7142857142857144,4.142857142857143,3.142857142857143,4.571428571428571,GEO
ABC,2.642857142857143,3.2857142857142856,4.0,3.142857142857143,4.857142857142857,5.428571428571429,4.642857142857143,GEO
RF,4.785714285714286,3.9285714285714284,3.2142857142857144,3.4285714285714284,3.5714285714285716,4.285714285714286,4.785714285714286,GEO
GNB,3.9285714285714284,3.7142857142857144,3.5714285714285716,3.142857142857143,4.071428571428571,4.214285714285714,5.357142857142857,GEO
MLP,6.642857142857143,3.0714285714285716,2.7857142857142856,3.7857142857142856,2.7857142857142856,3.0714285714285716,5.857142857142857,GEO
DTREE,4.357142857142857,3.7857142857142856,2.2142857142857144,3.2857142857142856,4.571428571428571,3.642857142857143,6.142857142857143,GEO
avarage,4.942857142857143,3.707142857142857,3.364285714285714,3.6285714285714286,4.178571428571429,3.7000000000000006,4.478571428571428,GEO
std,1.3144064816840226,0.5884855076752222,0.6912557176039713,0.6724241184039563,0.672803388140228,0.8875556895433753,1.1498052679454078,GEO
