ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
LRG,6.571428571428571,3.2857142857142856,3.4285714285714284,4.428571428571429,4.928571428571429,3.4285714285714284,1.9285714285714286,SPE
SVM,6.214285714285714,4.0,4.142857142857143,3.7857142857142856,4.5,3.2142857142857144,2.142857142857143,SPE
ABC,4.071428571428571,2.857142857142857,4.357142857142857,3.857142857142857,4.428571428571429,5.785714285714286,2.642857142857143,SPE
DTREE,4.428571428571429,5.357142857142857,3.357142857142857,4.285714285714286,4.071428571428571,3.2857142857142856,3.2142857142857144,SPE
MLP,6.928571428571429,3.642857142857143,4.214285714285714,3.0714285714285716,2.9285714285714284,3.857142857142857,3.357142857142857,SPE
SGD,6.428571428571429,4.357142857142857,4.357142857142857,3.0,3.5714285714285716,2.7857142857142856,3.5,SPE
KNN,5.571428571428571,3.2142857142857144,2.857142857142857,3.5714285714285716,4.0,5.071428571428571,3.7142857142857144,SPE
QDA,4.142857142857143,4.642857142857143,3.5714285714285716,4.071428571428571,4.285714285714286,3.5,3.7857142857142856,SPE
RF,5.428571428571429,4.142857142857143,4.0,3.857142857142857,3.142857142857143,3.357142857142857,4.071428571428571,SPE
GNB,4.642857142857143,3.0714285714285716,3.5714285714285716,3.4285714285714284,3.0,5.571428571428571,4.714285714285714,SPE
avarage,5.442857142857144,3.8571428571428568,3.785714285714286,3.735714285714286,3.885714285714285,3.9857142857142853,3.307142857142857,SPE
std,1.0699990463470859,0.7903901272713252,0.5028264781414971,0.4750581776044314,0.6926893922273594,1.0758111425861285,0.8631075532783138,SPE
